id_freelancer;id_trabajo;id_cliente;id_plataforma;Last_Name;Name;Fecha_inicio;Fecha_finalizacion;Job_Category;Platform;Experience_Level;Client_Region;Payment_Method;Job_Completed;Earnings_USD;Hourly_Rate;Job_Success_Rate;Client_Rating;Job_Duration_Days;Project_Type;Rehire_Rate;Marketing_Spend
1;1;1;1;Smith;James;08/12/2023;21/11/2024;Web Development;Fiverr;Beginner;Asia;Mobile Banking;180;1620;9579;6873;318;1;Fixed;4019;53
2;2;2;2;Johnson;Mary;10/01/2023;02/01/2025;App Development;Fiverr;Beginner;Australia;Mobile Banking;218;9078;8638;9754;344;54;Fixed;3653;486
3;3;3;3;Williams;John;05/06/2023;25/12/2024;Web Development;Fiverr;Beginner;UK;Crypto;27;3455;8517;866;42;46;Hourly;7405;489
4;4;4;4;Jones;Patricia;05/04/2023;02/11/2024;Data Entry;PeoplePerHour;Intermediate;Asia;Bank Transfer;17;5577;1437;7993;447;41;Hourly;2758;67
5;5;5;5;Brown;Robert;08/07/2023;01/12/2024;Digital Marketing;Upwork;Expert;Asia;Crypto;245;5898;9937;578;50;41;Hourly;6909;489
6;6;6;6;Miller;Jennifer;19/03/2023;01/01/2025;Customer Support;Toptal;Beginner;Europe;Crypto;280;6867;4304;578;487;8;Fixed;4388;290
7;7;7;7;Davis;Michael;03/04/2023;05/03/2024;Web Development;Fiverr;Beginner;USA;Crypto;96;1677;205;529;429;32;Hourly;4599;343
8;8;8;8;Wilson;Linda;01/09/2023;07/12/2024;Data Entry;Toptal;Beginner;Australia;Bank Transfer;112;6193;8215;9331;384;30;Fixed;3159;168
9;9;9;9;Moore;William;23/03/2023;09/10/2024;Content Writing;Toptal;Intermediate;USA;Crypto;233;8446;2644;8006;427;46;Fixed;5011;396
10;10;10;10;Taylor;Elizabeth;13/01/2023;23/03/2024;Data Entry;PeoplePerHour;Beginner;Middle East;Mobile Banking;156;6608;5499;854;457;52;Hourly;3276;160
11;11;11;11;Anderson;David;26/10/2023;23/09/2024;App Development;Fiverr;Beginner;Australia;Crypto;112;5322;1716;5103;324;89;Fixed;1275;14
12;12;12;12;Thomas;Susan;03/04/2023;16/10/2024;Customer Support;Toptal;Intermediate;Australia;Mobile Banking;293;7931;5009;985;382;61;Fixed;2904;190
13;13;13;13;Jackson;Richard;08/12/2023;10/02/2024;Customer Support;Fiverr;Intermediate;Europe;Mobile Banking;180;9033;5802;9162;468;13;Fixed;1045;14
14;14;14;14;White;Jessica;22/05/2023;08/04/2024;Data Entry;Freelancer;Beginner;Canada;Bank Transfer;290;3797;4736;6062;377;89;Hourly;7848;286
15;15;15;15;Harris;Charles;30/11/2023;05/06/2024;App Development;Freelancer;Beginner;UK;Crypto;245;9347;116;5909;414;40;Hourly;776;362
16;16;16;16;Martin;Sarah;26/02/2023;03/11/2024;Data Entry;Freelancer;Intermediate;UK;Bank Transfer;149;9332;5107;5917;418;61;Hourly;3766;411
17;17;17;17;Thompson;Joseph;07/01/2023;20/10/2024;Customer Support;Toptal;Expert;UK;Mobile Banking;18;1657;4955;6521;337;44;Hourly;6099;9
18;18;18;18;Garcia;Karen;22/07/2023;24/09/2024;Customer Support;Freelancer;Intermediate;Middle East;PayPal;279;5124;2985;7624;372;62;Hourly;3421;56
19;19;19;19;Martinez;Thomas;01/01/2024;23/01/2024;Graphic Design;PeoplePerHour;Expert;Asia;Crypto;75;7203;9255;716;367;44;Hourly;5698;198
20;20;20;20;Roberts;Nancy;27/01/2023;22/03/2024;Data Entry;PeoplePerHour;Beginner;Canada;Bank Transfer;199;6783;4469;6456;305;48;Hourly;6638;160
21;21;21;21;Clark;Christopher;02/10/2023;19/02/2024;SEO;Toptal;Beginner;USA;PayPal;15;116;8709;8059;305;74;Hourly;7627;262
22;22;22;22;Rodriguez;Betty;22/12/2023;02/09/2024;Data Entry;Fiverr;Expert;UK;Crypto;110;8050;1542;5697;466;59;Fixed;3801;388
23;23;23;23;Lewis;Daniel;15/07/2023;05/02/2024;Customer Support;Upwork;Intermediate;USA;Crypto;262;7695;3529;6461;355;57;Hourly;6483;473
24;24;24;24;Lee;Helen;07/01/2023;21/06/2024;Graphic Design;Fiverr;Beginner;Canada;Bank Transfer;200;9520;2175;6832;404;11;Fixed;2861;380
25;25;25;25;Walker;Paul;14/09/2023;09/01/2024;Graphic Design;Fiverr;Expert;Middle East;PayPal;149;4208;438;728;36;25;Fixed;7932;252
26;26;26;26;Hall;Sandra;16/11/2023;30/01/2024;Content Writing;Fiverr;Intermediate;Canada;Bank Transfer;224;9055;1561;8926;488;61;Hourly;118;118
27;27;27;27;Allen;Mark;16/07/2023;20/08/2024;App Development;Fiverr;Expert;Europe;Crypto;178;452;469;5998;352;46;Fixed;5225;79
28;28;28;28;Young;Ashley;21/07/2023;07/02/2024;Digital Marketing;Upwork;Intermediate;Asia;Crypto;220;7975;3862;7571;386;54;Fixed;5617;123
29;29;29;29;King;Donald;23/10/2023;21/02/2025;Web Development;Freelancer;Intermediate;UK;Mobile Banking;97;4216;2621;7962;475;34;Hourly;5816;312
30;30;30;30;Scott;Dorothy;12/11/2023;19/12/2024;Web Development;Fiverr;Intermediate;Middle East;Crypto;264;2975;6601;5232;468;84;Fixed;1843;71
31;31;31;31;Green;George;10/02/2023;13/04/2024;Data Entry;PeoplePerHour;Intermediate;Europe;Crypto;67;3043;9534;8038;337;7;Hourly;757;469
32;32;32;32;Adams;Deborah;28/10/2023;07/09/2024;Content Writing;Toptal;Expert;UK;PayPal;33;9328;2468;5853;461;62;Fixed;2268;481
33;33;33;33;Baker;Edward;27/04/2023;04/01/2025;Data Entry;Toptal;Expert;Canada;PayPal;279;821;7262;5325;392;57;Fixed;5359;167
34;34;34;34;Nelson;Helen;21/07/2023;24/01/2025;Web Development;PeoplePerHour;Expert;Canada;Mobile Banking;289;7421;7553;9744;397;76;Hourly;2559;283
35;35;35;35;Carter;Steven;20/01/2023;27/01/2024;App Development;Fiverr;Expert;Australia;Mobile Banking;74;9911;5232;9828;327;5;Fixed;3151;493
36;36;36;36;Mitchell;Emily;28/05/2023;30/10/2024;Customer Support;Upwork;Expert;Australia;Mobile Banking;283;5763;9028;9042;316;76;Fixed;4825;35
37;37;37;37;Perez;Brian;27/07/2023;08/05/2024;App Development;Freelancer;Intermediate;Canada;Bank Transfer;235;8217;9681;6523;446;35;Hourly;392;311
38;38;38;38;Roberts;Melissa;24/05/2023;23/09/2024;App Development;Toptal;Beginner;Canada;Bank Transfer;259;1606;3941;5488;399;84;Hourly;2122;174
39;39;39;39;Evans;Jack;28/08/2023;19/09/2024;Graphic Design;Freelancer;Beginner;USA;Mobile Banking;176;1201;6685;8421;387;37;Fixed;2197;198
40;40;40;40;Gonzalez;Amy;16/01/2023;03/05/2024;Customer Support;Upwork;Expert;Asia;Bank Transfer;184;5364;6791;7201;446;60;Fixed;3927;115
41;41;41;41;Nelson;Kevin;10/08/2023;06/01/2025;Digital Marketing;Toptal;Expert;USA;Crypto;268;1267;4335;561;453;65;Hourly;6301;423
42;42;42;42;Carter;Debra;23/06/2023;29/06/2024;Customer Support;Freelancer;Beginner;Asia;Mobile Banking;187;3994;351;7476;332;16;Fixed;7286;314
43;43;43;43;Morris;Andrew;13/01/2023;13/12/2024;Content Writing;Upwork;Intermediate;Europe;Mobile Banking;209;8089;9371;5172;422;30;Hourly;1589;426
44;44;44;44;Wright;Stephanie;20/05/2023;03/11/2024;Graphic Design;Freelancer;Expert;Australia;Bank Transfer;253;2092;8005;9547;327;73;Hourly;3752;219
45;45;45;45;Martinez;Joshua;24/11/2023;05/11/2024;Digital Marketing;Fiverr;Intermediate;Australia;PayPal;217;6353;1587;6294;45;42;Hourly;1702;378
46;46;46;46;Hughes;Barbara;28/03/2023;03/06/2024;Content Writing;Upwork;Beginner;Canada;Mobile Banking;163;8947;1639;8313;431;61;Fixed;1116;65
47;47;47;47;King;Frank;27/06/2023;29/01/2024;Content Writing;Freelancer;Beginner;Canada;Bank Transfer;104;2719;9264;6559;491;74;Fixed;5632;264
48;48;48;48;Perez;Cynthia;15/01/2023;10/02/2024;Web Development;Fiverr;Expert;Europe;Bank Transfer;116;2163;1273;760;314;77;Fixed;5217;133
49;49;49;49;Young;Ryan;11/11/2023;08/04/2024;Graphic Design;Fiverr;Intermediate;Middle East;PayPal;170;3027;704;7734;311;48;Hourly;2141;118
50;50;50;50;Bennett;Rebecca;08/04/2023;05/09/2024;Content Writing;Upwork;Expert;Middle East;Mobile Banking;40;4428;2654;5924;356;62;Fixed;2637;121
51;51;51;51;Cole;Benjamin;28/03/2023;16/10/2024;SEO;PeoplePerHour;Beginner;Middle East;PayPal;116;7277;834;9848;352;84;Hourly;1166;320
52;52;52;52;Bailey;Shirley;06/09/2023;09/02/2024;App Development;Toptal;Intermediate;Australia;Crypto;91;6311;1067;8876;349;64;Fixed;6845;386
53;53;53;53;Fisher;Edward;03/08/2023;21/07/2024;Content Writing;Upwork;Expert;USA;PayPal;187;472;4048;9697;481;57;Hourly;7823;457
54;54;54;54;Simmons;Dorothy;20/01/2023;03/02/2024;Digital Marketing;Fiverr;Expert;Middle East;PayPal;89;8772;1237;9474;35;68;Hourly;1948;420
55;55;55;55;Parker;Douglas;21/06/2023;09/06/2024;Web Development;Fiverr;Expert;UK;Bank Transfer;273;140;6168;7989;354;46;Fixed;262;382
56;56;56;56;Robinson;Marie;26/08/2023;29/08/2024;Data Entry;Upwork;Beginner;Europe;PayPal;169;3422;6649;9609;452;28;Hourly;7079;491
57;57;57;57;Evans;Peter;22/08/2023;09/04/2024;App Development;PeoplePerHour;Expert;Middle East;Crypto;94;6086;4048;5442;39;77;Fixed;7485;86
58;58;58;58;Gomez;Alice;10/07/2023;12/06/2024;Web Development;Toptal;Intermediate;UK;Bank Transfer;242;1992;7557;598;455;3;Fixed;3937;288
59;59;59;59;Hernandez;Arthur;18/09/2023;30/11/2024;Data Entry;Freelancer;Expert;Middle East;Crypto;26;3855;5155;5226;313;37;Fixed;1354;136
60;60;60;60;Cook;Sandra;15/12/2023;02/02/2024;Graphic Design;Upwork;Beginner;USA;PayPal;171;9482;4587;6627;398;48;Fixed;1276;52
61;61;61;61;Morris;Samuel;26/08/2023;24/10/2024;Graphic Design;Toptal;Expert;USA;Crypto;219;147;4366;6943;307;19;Fixed;5018;204
62;62;62;62;Diaz;Virginia;24/01/2023;11/10/2024;Content Writing;Toptal;Beginner;Middle East;Crypto;62;1529;4596;6357;313;83;Hourly;375;347
63;63;63;63;James;Jackie;05/06/2023;03/02/2024;SEO;Fiverr;Beginner;UK;PayPal;34;4676;9695;9144;481;17;Fixed;1201;50
